model,cv_pr_auc,cv_roc_auc,cv_f1,cv_precision,cv_recall,best_params
LogisticRegression,0.06095203741636797,0.7074340965785909,0.06935540808133955,0.036812132129264756,0.5982259570494864,"{'model__C': np.float64(2.087156815341724), 'model__class_weight': 'balanced', 'model__l1_ratio': 1, 'model__solver': 'saga'}"
XGBoost,0.0564516602884775,0.7149219820576627,0.07486928724453527,0.04028485946783858,0.5292844410491468,"{'model__colsample_bylevel': np.float64(0.6615135985519575), 'model__colsample_bytree': np.float64(0.6005769758047194), 'model__gamma': np.float64(0.8241953910777263), 'model__learning_rate': np.float64(0.041084147351208467), 'model__max_delta_step': 1, 'model__max_depth': 3, 'model__min_child_weight': 8, 'model__n_estimators': 333, 'model__reg_alpha': np.float64(1.7908135901642024), 'model__reg_lambda': np.float64(1.067787960998145), 'model__subsample': np.float64(0.8686292782371199)}"
LightGBM,0.05323701208133267,0.7061238110300332,0.08296703138038927,0.046230129202134804,0.4044733044733045,"{'model__colsample_bytree': np.float64(0.7801997007878172), 'model__learning_rate': np.float64(0.012652992231973307), 'model__max_depth': 11, 'model__min_child_samples': 69, 'model__n_estimators': 213, 'model__num_leaves': 28, 'model__reg_alpha': np.float64(0.04789875666064258), 'model__reg_lambda': np.float64(0.692681476866447), 'model__subsample': np.float64(0.6964101864104046)}"
DummyClassifier,0.019299997143771876,0.4967032190715016,0.012053601490426702,0.012413793103448275,0.011713776419658773,{'model__strategy': 'stratified'}
