feature,coeff,abs_coeff
num__last_30d_send,1.4215223980330385,1.4215223980330385
num__last_90d_send,-1.1171785836065102,1.1171785836065102
num__days_since_open,-0.9303908186518477,0.9303908186518477
num__last_30d_send_click_rate,0.8456088590121279,0.8456088590121279
cat__cat_1_pref_5963,-0.6536026225776188,0.6536026225776188
cat__cat_1_pref_unknown_cat_1,-0.5481586520100402,0.5481586520100402
num__days_since_click,-0.48515570036883654,0.48515570036883654
cat__cat_1_pref_4,0.35839426943655883,0.35839426943655883
cat__cat_1_pref_without_purchase,-0.27889699113151095,0.27889699113151095
cat__cat_1_pref_6060,-0.2787679493300223,0.2787679493300223
cat__cat_1_pref_2,0.2777337457923993,0.2777337457923993
num__unique_event,-0.27302188323193954,0.27302188323193954
num__log1p_avg_amount,-0.2714167191021065,0.2714167191021065
num__cat_1_nunique,-0.24082987670630385,0.24082987670630385
num__push_send_open_rate,-0.1673860745047132,0.1673860745047132
num__cat_4_nunique,0.14540272677085467,0.14540272677085467
num__days_since_purchase,-0.1292164790827876,0.1292164790827876
num__log1p_last90_amount,0.09450725511987765,0.09450725511987765
num__last_30d_open,0.09432815219442878,0.09432815219442878
num__days_since_send,0.0804002871290158,0.0804002871290158
